,polygon,year,lst_day_mean,lst_day_max,lst_day_min,lst_night_mean,lst_night_max,lst_night_min
78,92139,2010,36.25666310160443,36.95999999999998,34.74000000000001,13.599115864527676,14.04000000000002,12.620000000000005
79,92139,2012,37.282923351158786,38.48000000000002,35.56,15.209832442067864,16.04000000000002,14.620000000000005
80,92139,2014,40.24921212121228,41.04000000000002,38.860000000000014,16.853540106951982,17.439999999999998,16.019999999999982
81,92139,2016,35.991408199643615,36.81999999999999,34.75999999999999,14.886959001782657,15.78000000000003,14.319999999999993
82,92139,2018,37.86267379679157,38.579999999999984,36.74000000000001,14.491365418894873,15.060000000000002,12.019999999999982
83,92139,2020,37.70827807486643,38.75999999999999,36.95999999999998,16.33096613190736,17.180000000000007,15.519999999999982
84,92117,2010,33.23778263403267,36.75999999999999,28.120000000000005,13.037077505827426,14.139999999999986,12.480000000000018
85,92117,2012,33.62579399766901,37.54000000000002,29.019999999999982,14.563508158508228,15.400000000000034,13.840000000000032
86,92117,2014,36.26629079254087,40.19999999999999,30.360000000000014,16.18752331002338,17.420000000000016,14.78000000000003
87,92117,2016,33.35324300699307,36.45999999999998,28.78000000000003,13.798645104895172,15.519999999999982,12.920000000000016
88,92117,2018,34.3544434731935,37.639999999999986,29.45999999999998,13.956424825174963,14.78000000000003,13.220000000000027
89,92117,2020,34.71766899766908,37.69999999999999,30.079999999999984,15.451767191142267,16.20999999999998,14.860000000000014
90,92114,2010,36.40376647257125,37.44,35.18000000000001,13.47241035856581,14.230000000000018,12.639999999999986
91,92114,2012,37.745825927061105,38.579999999999984,36.18000000000001,15.142013484523545,15.740000000000009,14.5
92,92114,2014,40.69441924609265,42.18000000000001,38.420000000000016,16.69247624885088,17.439999999999998,15.720000000000027
93,92114,2016,36.51649249157225,37.95999999999998,35.660000000000025,14.711146184492861,15.300000000000011,14.079999999999984
94,92114,2018,38.47863622433351,39.30000000000001,37.22000000000003,14.354885075084326,15.139999999999986,12.560000000000002
95,92114,2020,38.29676984370212,39.829999999999984,36.660000000000025,15.872948207171419,16.69999999999999,15.259999999999991
96,92109,2010,27.602111599907346,33.81999999999999,21.600000000000023,13.881697152118647,15.220000000000027,12.400000000000034
97,92109,2012,28.393653623523903,33.54000000000002,22.519999999999982,15.29646677471635,16.840000000000032,13.439999999999998
98,92109,2014,30.130077564251053,35.120000000000005,24.090000000000032,16.701273442926606,17.900000000000034,15.519999999999982
99,92109,2016,28.279870340356638,33.25999999999999,21.319999999999993,15.082421856911367,16.629999999999995,13.449999999999989
100,92109,2018,29.088143088677953,34.879999999999995,20.28000000000003,14.386783977772666,15.740000000000009,13.019999999999982
101,92109,2020,29.87173651308177,35.0,23.69999999999999,15.662586246816318,16.80000000000001,14.480000000000018
102,92154,2010,33.96278011462863,38.400000000000034,23.639999999999986,12.22975426167801,14.860000000000014,10.519999999999982
103,92154,2012,35.19821858165432,40.0,24.5,13.697702260595804,16.25999999999999,11.620000000000005
104,92154,2014,39.601972794135634,45.60000000000002,25.220000000000027,15.341414409760716,17.69999999999999,12.78000000000003
105,92154,2016,34.56325609426102,38.620000000000005,23.78000000000003,13.598515484712038,16.019999999999982,12.0
106,92154,2018,35.3753833665412,39.84000000000003,23.860000000000014,13.576946842791472,15.879999999999995,11.019999999999982
107,92154,2020,34.49095220524936,40.139999999999986,24.420000000000016,14.681210734755155,16.879999999999995,13.060000000000002
108,92111,2010,34.09137231324223,37.72000000000003,29.100000000000023,13.148941830753074,14.660000000000025,12.480000000000018
109,92111,2012,35.16954156019847,38.620000000000005,30.5,14.706249812114834,15.699999999999989,12.879999999999995
110,92111,2014,37.78712159927858,41.98000000000002,31.75999999999999,16.44358935818434,17.54000000000002,14.759999999999991
111,92111,2016,34.7339666315948,37.81999999999999,28.78000000000003,13.9612686006314,15.259999999999991,12.860000000000014
112,92111,2018,35.69182924996244,38.879999999999995,30.360000000000014,14.194975199158307,15.180000000000007,12.900000000000034
113,92111,2020,35.74606493311285,39.129999999999995,30.939999999999998,15.550679392755171,16.579999999999984,14.45999999999998
114,92107,2010,25.408806324110685,30.980000000000018,20.75,13.533280632411106,14.180000000000007,12.639999999999986
115,92107,2012,26.189652173913032,31.019999999999982,22.74000000000001,14.94277470355729,16.139999999999986,13.95999999999998
116,92107,2014,27.728553359683758,33.620000000000005,23.620000000000005,16.589976284584907,17.54000000000002,15.610000000000014
117,92107,2016,26.528944664031656,30.319999999999993,16.45999999999998,14.687877470355659,15.53000000000003,14.060000000000002
118,92107,2018,27.314055335968476,33.120000000000005,23.400000000000034,13.485355731225297,14.45999999999998,12.840000000000032
119,92107,2020,27.369584980237164,32.860000000000014,23.319999999999993,15.931383399209494,16.80000000000001,14.680000000000007
120,92108,2010,34.38331600231078,36.72000000000003,31.100000000000023,14.24813980358175,15.090000000000032,13.009999999999991
121,92108,2012,35.15731080300401,37.19999999999999,32.78000000000003,15.549404968226384,16.480000000000018,14.879999999999995
122,92108,2014,37.65574234546506,39.879999999999995,34.80000000000001,17.238890814558033,17.860000000000014,16.560000000000002
123,92108,2016,34.731299826689735,36.09000000000003,32.51999999999998,15.361502021952617,16.30000000000001,14.139999999999986
124,92108,2018,35.82509532062386,37.75999999999999,33.22000000000003,14.919023685730792,15.379999999999995,14.240000000000009
125,92108,2020,35.61764586943963,37.06,33.079999999999984,16.555661467359926,16.920000000000016,15.810000000000002
126,92110,2010,31.194719521316358,34.68000000000001,25.80000000000001,14.197771129394141,15.019999999999982,13.0
127,92110,2012,31.723809523809507,35.59000000000003,27.25,15.583076539516355,16.30000000000001,14.400000000000034
128,92110,2014,33.80852655198197,37.379999999999995,29.139999999999986,17.3074844178509,17.939999999999998,15.95999999999998
129,92110,2016,31.094036399900233,34.56,26.69999999999999,15.066282722513108,16.04000000000002,13.78000000000003
130,92110,2018,32.233946646721506,35.28000000000003,28.04000000000002,14.633537771129397,15.319999999999993,13.639999999999986
131,92110,2020,32.93648965345301,36.50999999999999,28.620000000000005,16.025120917476954,17.139999999999986,14.800000000000011
132,92103,2010,34.02386873920557,34.74000000000001,33.0,14.344469775475034,14.980000000000018,13.900000000000034
133,92103,2012,34.73643868739214,35.900000000000034,32.860000000000014,15.637126079447285,16.160000000000025,15.180000000000007
134,92103,2014,36.63714680483605,37.60000000000002,35.5,17.250825561312638,17.900000000000034,16.980000000000018
135,92103,2016,33.43684974093276,34.56,32.51999999999998,15.258521588946508,15.579999999999984,14.420000000000016
136,92103,2018,34.712290155440485,36.31999999999999,33.60000000000002,14.875357512953428,15.639999999999986,14.600000000000023
137,92103,2020,35.243471502590694,36.50999999999999,33.910000000000025,16.586383419689184,17.139999999999986,15.980000000000018
138,92116,2010,35.72360582306834,37.860000000000014,33.400000000000034,14.417092198581543,15.090000000000032,14.079999999999984
139,92116,2012,36.59988801791718,39.44,33.72000000000003,15.619372900335975,16.480000000000018,15.300000000000011
140,92116,2014,38.61568495707348,40.74000000000001,35.920000000000016,17.161985815602918,17.660000000000025,16.74000000000001
141,92116,2016,35.20977230309825,37.56,33.079999999999984,14.887420679358002,16.30000000000001,14.519999999999982
142,92116,2018,37.13799178798058,39.30000000000001,34.420000000000016,14.888928704740579,15.379999999999995,14.600000000000023
143,92116,2020,36.69960059723786,38.78000000000003,34.05000000000001,16.239761104889908,16.920000000000016,15.439999999999998
144,92115,2010,36.863307345096416,38.44,34.10000000000002,14.334513746409641,14.879999999999995,13.70999999999998
145,92115,2012,37.46139105457536,39.44,34.620000000000005,15.494382437423155,15.980000000000018,15.240000000000009
146,92115,2014,40.05168649979487,41.860000000000014,37.72000000000003,17.072367665162176,17.519999999999982,16.620000000000005
147,92115,2016,36.8087833401724,38.19,34.400000000000034,14.503922855970472,15.480000000000018,13.860000000000014
148,92115,2018,38.58425933524825,40.68000000000001,35.879999999999995,14.728797702092834,15.100000000000023,14.04000000000002
149,92115,2020,38.17418342224056,39.670000000000016,35.81999999999999,15.824872794419377,16.75999999999999,15.350000000000023
150,92104,2010,35.273860013859974,37.34000000000003,32.54000000000002,14.150291060291124,14.740000000000009,13.879999999999995
151,92104,2012,36.15257103257096,38.75999999999999,33.81999999999999,15.298073458073418,15.600000000000023,14.900000000000034
152,92104,2014,38.13424809424805,40.56,36.25999999999999,16.831108801108826,17.620000000000005,16.220000000000027
153,92104,2016,34.304656964656886,36.25999999999999,32.660000000000025,14.804227304227197,15.900000000000034,14.319999999999993
154,92104,2018,36.74979902979902,38.660000000000025,34.400000000000034,14.622106722106707,15.400000000000034,14.120000000000005
155,92104,2020,35.889168399168284,38.420000000000016,33.660000000000025,16.0707692307692,16.600000000000023,15.699999999999989
156,92102,2010,34.101293054771304,36.31999999999999,30.95999999999998,14.411699604743148,15.28000000000003,13.699999999999989
157,92102,2012,35.898418972332024,37.54000000000002,31.379999999999995,15.499480519480528,16.75999999999999,14.900000000000034
158,92102,2014,37.695618294748726,39.60000000000002,31.860000000000014,17.245945793337114,18.120000000000005,16.220000000000027
159,92102,2016,34.65500846979114,36.379999999999995,29.920000000000016,14.803133822699124,15.620000000000005,14.259999999999991
160,92102,2018,36.145409373235395,38.22000000000003,31.620000000000005,15.032574816487909,15.759999999999991,14.120000000000005
161,92102,2020,35.5256013551666,37.94,31.45999999999998,16.18359683794472,16.879999999999995,15.560000000000002
162,92105,2010,36.79916445623343,38.22000000000003,34.420000000000016,13.997190539345809,14.699999999999989,13.220000000000027
163,92105,2012,37.72273209549087,39.44,35.10000000000002,15.419014146772895,15.840000000000032,15.079999999999984
164,92105,2014,39.86679045092848,41.25999999999999,37.78000000000003,16.826852343059386,17.220000000000027,16.379999999999995
165,92105,2016,36.400464190981495,38.06,34.28000000000003,14.6177409372238,15.879999999999995,14.220000000000027
166,92105,2018,38.4592705570293,39.98000000000002,36.400000000000034,14.790512820512902,15.04000000000002,14.340000000000032
167,92105,2020,37.321158267020394,39.25999999999999,34.94,15.927422634836546,16.600000000000023,15.470000000000027
168,92113,2010,33.880477662264695,36.31999999999999,27.879999999999995,14.498449002528844,15.480000000000018,13.829999999999984
169,92113,2012,35.261994942399554,37.54000000000002,30.060000000000002,15.760252880022449,16.75999999999999,15.340000000000032
170,92113,2014,36.98556336049455,39.34000000000003,31.860000000000014,17.63296431581898,18.180000000000007,16.980000000000018
171,92113,2016,34.22611407698781,36.360000000000014,29.720000000000027,15.144369204832799,16.420000000000016,14.180000000000007
172,92113,2018,35.20023040179814,38.10000000000002,29.840000000000032,15.023073897162135,16.079999999999984,14.100000000000023
173,92113,2020,35.530205113795944,38.56,30.560000000000002,16.496159033436356,17.170000000000016,15.360000000000014
174,92101,2010,31.09377522157274,34.68000000000001,21.569999999999993,14.789174052423107,15.45999999999998,12.470000000000027
175,92101,2012,31.79871204978309,35.68000000000001,22.879999999999995,15.969636055063177,16.819999999999993,14.120000000000005
176,92101,2014,33.5521723552705,37.379999999999995,24.70999999999998,17.57971525551568,18.25999999999999,14.259999999999991
177,92101,2016,30.88702621157836,35.00999999999999,20.980000000000018,15.09554780313033,16.680000000000007,13.840000000000032
178,92101,2018,31.7905016028663,35.420000000000016,23.319999999999993,15.102751272864396,16.0,13.720000000000027
179,92101,2020,32.38959645483692,36.50999999999999,22.939999999999998,16.560961719781233,17.139999999999986,15.240000000000009
